id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36593,8013ca,AXB2747 ,,,1741167408,1741175602,136.56666666666666,0.0,,2025-03-05 09:36:48,2025-03-05 11:53:22
36569,702067,BBC373  ,VGTJ,VNLT,1741170975,1741175597,77.03333333333333,97.727,VGTJ-VNLT,2025-03-05 10:36:15,2025-03-05 11:53:17
36590,800b81,SEJ187  ,VIDP,,1741171344,1741175584,70.66666666666667,0.431,,2025-03-05 10:42:24,2025-03-05 11:53:04
36604,80173c,IGO6357 ,,VOBL,1741172989,1741175560,42.85,10.734,,2025-03-05 11:09:49,2025-03-05 11:52:40
36645,e4997c,TAM4531 ,SBGR,,1741173667,1741175556,31.483333333333334,9.891,,2025-03-05 11:21:07,2025-03-05 11:52:36
36501,3cc57d,AMB109  ,EDSB,,1741166343,1741175548,153.41666666666666,0.923,,2025-03-05 09:19:03,2025-03-05 11:52:28
36635,aca608,FDX1502 ,KMEM,3IN4,1741172385,1741175545,52.666666666666664,6.238,KMEM-3IN4,2025-03-05 10:59:45,2025-03-05 11:52:25
36608,861b64,ADO35   ,RJTT,RJCC,1741171938,1741175529,59.85,26.759,RJTT-RJCC,2025-03-05 10:52:18,2025-03-05 11:52:09
36491,3452c7,ANE61HB ,LEMD,,1741173448,1741175511,34.38333333333333,6.401,,2025-03-05 11:17:28,2025-03-05 11:51:51
36631,a745e8,GRB982  ,KTTN,08GA,1741169358,1741175497,102.31666666666666,14.427,KTTN-08GA,2025-03-05 10:09:18,2025-03-05 11:51:37
36539,4acab0,SAS53F  ,ENGM,,1741170180,1741175487,88.45,1.081,,2025-03-05 10:23:00,2025-03-05 11:51:27
36634,abf0fd,JANET11 ,KLAS,NV11,1741174774,1741175472,11.633333333333333,36.012,KLAS-NV11,2025-03-05 11:39:34,2025-03-05 11:51:12
36493,3475da,VLG70BW ,LEBL,LELN,1741171955,1741175459,58.4,108.663,LEBL-LELN,2025-03-05 10:52:35,2025-03-05 11:50:59
36601,801633,AKJ182K ,,,1741174124,1741175418,21.566666666666666,0.0,,2025-03-05 11:28:44,2025-03-05 11:50:18
36625,a16c2c,N191CZ  ,,K51J,1741174818,1741175377,9.316666666666666,8.894,,2025-03-05 11:40:18,2025-03-05 11:49:37
36616,880852,AIQ3306 ,VTBD,VTPN,1741173903,1741175342,23.983333333333334,26.276,VTBD-VTPN,2025-03-05 11:25:03,2025-03-05 11:49:02
36497,3c6446,DLH7EE  ,EDDL,EDDM,1741172330,1741175334,50.06666666666667,1.567,EDDL-EDDM,2025-03-05 10:58:50,2025-03-05 11:48:54
36606,84b83e,ANA1719 ,RJBB,RJCC,1741170322,1741175308,83.1,97.208,RJBB-RJCC,2025-03-05 10:25:22,2025-03-05 11:48:28
36638,c08811,THU870  ,CYQT,,1741174223,1741175275,17.533333333333335,0.683,,2025-03-05 11:30:23,2025-03-05 11:47:55
36507,400aff,BAW2816 ,EGKK,,1741168316,1741175254,115.63333333333334,1.887,,2025-03-05 09:51:56,2025-03-05 11:47:34
36570,7020a5,BBC438  ,,VGZR,1741173135,1741175236,35.016666666666666,20.413,,2025-03-05 11:12:15,2025-03-05 11:47:16
36496,3c6443,DLH2NJ  ,EDDM,EDDV,1741172514,1741175227,45.21666666666667,2.294,EDDM-EDDV,2025-03-05 11:01:54,2025-03-05 11:47:07
36603,801725,IGO107M ,,,1741174161,1741175219,17.633333333333333,0.0,,2025-03-05 11:29:21,2025-03-05 11:46:59
36641,e49247,TAM3300 ,SDIH,,1741174086,1741175159,17.883333333333333,21.303,,2025-03-05 11:28:06,2025-03-05 11:45:59
36607,8518ae,JAL2019 ,RJOO,RJCC,1741170654,1741175159,75.08333333333333,30.374,RJOO-RJCC,2025-03-05 10:30:54,2025-03-05 11:45:59
36490,3451d9,ANE1355 ,LEMD,,1741170642,1741175154,75.2,7.766,,2025-03-05 10:30:42,2025-03-05 11:45:54
36525,4692cd,AEE4IG  ,LGAV,,1741174167,1741175153,16.433333333333334,8.909,,2025-03-05 11:29:27,2025-03-05 11:45:53
36489,3430cc,VLG50EE ,,LEBB,1741169218,1741175126,98.46666666666667,28.887,,2025-03-05 10:06:58,2025-03-05 11:45:26
36649,e8025f,LPE2302 ,SPJC,,1741172113,1741175108,49.916666666666664,6.366,,2025-03-05 10:55:13,2025-03-05 11:45:08
36648,e80251,LPE2399 ,,SPNR,1741172574,1741175100,42.1,114.834,,2025-03-05 11:02:54,2025-03-05 11:45:00
36575,738488,AIZ815  ,LLBG,LLEY,1741173833,1741175095,21.033333333333335,10.617,LLBG-LLEY,2025-03-05 11:23:53,2025-03-05 11:44:55
